t_s,power.draw,power.limit,temperature.gpu,utilization.gpu,clocks.sm,clocks.mem,clocks_throttle_reasons.active,pcie.link.gen.current,memory.used
613.8,50.02,250.00,35,65,2917,13801,0x0000000000000000,5,1144
615.8,50.08,250.00,35,65,2917,13801,0x0000000000000000,5,1144
617.8,50.25,250.00,35,64,2917,13801,0x0000000000000000,5,1144
619.8,50.05,250.00,35,64,2917,13801,0x0000000000000000,5,1144
621.8,49.99,250.00,35,66,2917,13801,0x0000000000000000,5,1144
623.8,49.80,250.00,35,65,2917,13801,0x0000000000000000,5,1144
625.8,49.88,250.00,35,65,2917,13801,0x0000000000000000,5,1144
627.8,50.00,250.00,35,64,2917,13801,0x0000000000000000,5,1144
629.8,49.93,250.00,35,64,2917,13801,0x0000000000000000,5,1144
631.8,49.92,250.00,35,66,2917,13801,0x0000000000000000,5,1144
633.8,49.91,250.00,35,65,2917,13801,0x0000000000000000,5,1144
635.8,49.92,250.00,35,65,2917,13801,0x0000000000000000,5,1144
637.8,49.89,250.00,35,64,2917,13801,0x0000000000000000,5,1144
639.8,50.09,250.00,35,64,2917,13801,0x0000000000000000,5,1144
641.8,50.00,250.00,35,66,2917,13801,0x0000000000000000,5,1144
643.8,49.98,250.00,35,66,2917,13801,0x0000000000000000,5,1144
645.9,50.09,250.00,35,66,2917,13801,0x0000000000000000,5,1144
647.9,49.84,250.00,35,65,2917,13801,0x0000000000000000,5,1144
649.9,49.70,250.00,35,64,2917,13801,0x0000000000000000,5,1144
651.9,49.93,250.00,35,65,2917,13801,0x0000000000000000,5,1144
653.9,49.83,250.00,35,66,2917,13801,0x0000000000000000,5,1144
655.9,50.05,250.00,35,66,2917,13801,0x0000000000000000,5,1144
657.9,49.88,250.00,34,64,2917,13801,0x0000000000000000,5,1144
659.9,49.95,250.00,34,64,2917,13801,0x0000000000000000,5,1144
661.9,50.13,250.00,35,66,2917,13801,0x0000000000000000,5,1144
663.9,49.95,250.00,35,66,2917,13801,0x0000000000000000,5,1144
665.9,49.99,250.00,35,66,2917,13801,0x0000000000000000,5,1144
667.9,49.98,250.00,35,64,2917,13801,0x0000000000000000,5,1144
669.9,49.90,250.00,35,64,2917,13801,0x0000000000000000,5,1144
671.9,50.01,250.00,35,66,2917,13801,0x0000000000000000,5,1144
673.9,50.06,250.00,35,65,2917,13801,0x0000000000000000,5,1144
675.9,49.96,250.00,35,64,2917,13801,0x0000000000000000,5,1144
677.9,49.85,250.00,35,66,2917,13801,0x0000000000000000,5,1144
679.9,49.82,250.00,35,66,2917,13801,0x0000000000000000,5,1144
681.9,49.94,250.00,34,65,2917,13801,0x0000000000000000,5,1144
683.9,50.06,250.00,35,64,2917,13801,0x0000000000000000,5,1144
685.9,50.09,250.00,35,64,2917,13801,0x0000000000000000,5,1144
688.0,50.03,250.00,35,65,2917,13801,0x0000000000000000,5,1144
690.0,49.88,250.00,35,66,2917,13801,0x0000000000000000,5,1144
692.0,49.87,250.00,35,65,2917,13801,0x0000000000000000,5,1144
694.0,49.95,250.00,35,64,2917,13801,0x0000000000000000,5,1144
696.0,50.03,250.00,35,64,2917,13801,0x0000000000000000,5,1144
698.0,50.01,250.00,35,65,2917,13801,0x0000000000000000,5,1144
700.0,50.01,250.00,34,66,2917,13801,0x0000000000000000,5,1144
702.0,49.90,250.00,35,64,2917,13801,0x0000000000000000,5,1144
704.0,49.89,250.00,34,64,2917,13801,0x0000000000000000,5,1144
706.0,50.05,250.00,34,66,2917,13801,0x0000000000000000,5,1144
708.0,49.88,250.00,34,66,2917,13801,0x0000000000000000,5,1144
710.0,50.14,250.00,34,63,2917,13801,0x0000000000000000,5,1144
712.0,49.96,250.00,35,65,2917,13801,0x0000000000000000,5,1144
714.0,50.10,250.00,34,63,2917,13801,0x0000000000000000,5,1144
716.0,50.12,250.00,34,65,2917,13801,0x0000000000000000,5,1144
718.0,50.03,250.00,34,66,2917,13801,0x0000000000000000,5,1144
720.0,50.13,250.00,34,65,2917,13801,0x0000000000000000,5,1144
722.0,50.22,250.00,34,66,2917,13801,0x0000000000000000,5,1144
724.0,50.06,250.00,34,66,2917,13801,0x0000000000000000,5,1144
726.0,50.18,250.00,34,66,2917,13801,0x0000000000000000,5,1144
728.0,50.07,250.00,34,65,2917,13801,0x0000000000000000,5,1144
730.1,50.08,250.00,34,64,2917,13801,0x0000000000000000,5,1144
732.1,50.08,250.00,34,65,2917,13801,0x0000000000000000,5,1144
734.1,50.07,250.00,34,66,2917,13801,0x0000000000000000,5,1144
736.1,49.86,250.00,34,65,2917,13801,0x0000000000000000,5,1144
738.1,50.13,250.00,34,64,2917,13801,0x0000000000000000,5,1144
740.1,50.17,250.00,34,64,2917,13801,0x0000000000000000,5,1144
742.1,50.22,250.00,34,66,2917,13801,0x0000000000000000,5,1144
744.1,50.16,250.00,34,65,2917,13801,0x0000000000000000,5,1144
746.1,50.05,250.00,34,64,2917,13801,0x0000000000000000,5,1144
748.1,50.03,250.00,34,65,2917,13801,0x0000000000000000,5,1144
750.1,49.96,250.00,34,66,2917,13801,0x0000000000000000,5,1144
752.1,49.81,250.00,34,65,2917,13801,0x0000000000000000,5,1144
754.1,50.09,250.00,34,64,2917,13801,0x0000000000000000,5,1144
756.1,50.34,250.00,34,66,2917,13801,0x0000000000000000,5,1144
